itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
9170,90362.5407,9.7550,0.6047,0.5105,576.0,18.0000,3.7019,5.1196,4.3094
9171,90372.4065,9.8657,0.6116,0.5166,576.0,18.0000,3.9823,5.1704,4.3229
9172,90382.3442,9.9377,0.6157,0.5211,576.0,18.0000,4.6437,5.1385,4.3212
9173,90392.3564,10.0122,0.6122,0.5189,576.0,18.0000,5.2113,5.0483,4.2859
9174,90402.2292,9.8728,0.6254,0.5316,576.0,18.0000,5.1136,5.0809,4.2987
9175,90412.0183,9.7891,0.6182,0.5239,576.0,18.0000,4.9428,5.1131,4.3078
9176,90421.6845,9.6662,0.6243,0.5304,576.0,18.0000,4.7537,5.1095,4.2808
9177,90431.4694,9.7849,0.6167,0.5231,576.0,18.0000,4.1264,5.0763,4.2810
9178,90441.3990,9.9296,0.6105,0.5162,576.0,18.0000,4.5056,5.1055,4.3256
9179,90451.1893,9.7903,0.6159,0.5212,576.0,18.0000,4.7936,5.1537,4.3205
9180,90461.0877,9.8985,0.6153,0.5210,576.0,18.0000,4.5971,5.1266,4.3013
9181,90470.9394,9.8517,0.6206,0.5269,576.0,18.0000,4.5677,5.0828,4.2863
9182,90480.9093,9.9699,0.6274,0.5333,576.0,18.0000,4.7458,5.1041,4.3067
9183,90490.7452,9.8359,0.6184,0.5249,576.0,18.0000,4.0148,5.0656,4.2860
9184,90500.7562,10.0110,0.6195,0.5255,576.0,18.0000,3.6680,5.0952,4.3015
9185,90510.6821,9.9259,0.6242,0.5302,576.0,18.0000,4.1529,5.1051,4.2931
9186,90520.5797,9.8977,0.6202,0.5260,576.0,18.0000,4.3015,5.1142,4.3080
9187,90530.5291,9.9493,0.6075,0.5136,576.0,18.0000,3.6686,5.0912,4.2952
9188,90540.0794,9.5504,0.6240,0.5290,576.0,18.0000,3.2294,5.1872,4.3186
9189,90549.9399,9.8605,0.6108,0.5162,576.0,18.0000,3.3214,5.1435,4.3221
9190,90559.7230,9.7830,0.5987,0.5049,576.0,18.0000,3.1845,5.0848,4.2922
9191,90569.6618,9.9388,0.6191,0.5238,576.0,18.0000,2.9496,5.1857,4.3433
9192,90579.4403,9.7786,0.6066,0.5123,576.0,18.0000,2.9540,5.1242,4.3090
9193,90589.2417,9.8014,0.6079,0.5142,576.0,18.0000,2.9204,5.0876,4.2844
9194,90599.0405,9.7988,0.6169,0.5216,576.0,18.0000,2.9950,5.1891,4.3416
9195,90608.8005,9.7599,0.6096,0.5153,576.0,18.0000,3.0659,5.1286,4.3071
9196,90618.5332,9.7327,0.6168,0.5230,576.0,18.0000,3.2552,5.0921,4.2874
9197,90628.3661,9.8328,0.6074,0.5122,576.0,18.0000,3.7024,5.1797,4.3482
9198,90638.1206,9.7545,0.6116,0.5178,576.0,18.0000,4.0307,5.0967,4.2821
9199,90648.0078,9.8873,0.6145,0.5195,576.0,18.0000,4.3393,5.1819,4.3185
9200,90657.7942,9.7864,0.6077,0.5126,576.0,18.0000,4.3189,5.1605,4.3531
9201,90667.5854,9.7913,0.6194,0.5259,576.0,18.0000,3.8524,5.0783,4.2785
9202,90677.4707,9.8853,0.6063,0.5116,576.0,18.0000,4.0170,5.1320,4.3310
9203,90687.3065,9.8358,0.6189,0.5248,576.0,18.0000,4.3522,5.1075,4.3032
9204,90697.0616,9.7551,0.6074,0.5138,576.0,18.0000,3.6607,5.0636,4.2969
9205,90706.7887,9.7271,0.6191,0.5238,576.0,18.0000,3.2324,5.1929,4.3384
9206,90716.6361,9.8474,0.6118,0.5181,576.0,18.0000,3.3374,5.0913,4.2799
9207,90726.3872,9.7511,0.6199,0.5254,576.0,18.0000,3.3225,5.1392,4.3113
