itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
702,2604.0234,3.7349,1.8081,1.7442,320.0,10.0000,3.5603,6.0915,0.3013
703,2607.6906,3.6672,1.7930,1.7280,320.0,10.0000,0.5962,6.1874,0.3135
704,2611.4061,3.7155,1.8076,1.7415,320.0,10.0000,2.2361,6.2876,0.3222
705,2615.1143,3.7082,1.7950,1.7304,320.0,10.0000,0.6312,6.1475,0.3117
706,2618.7534,3.6391,1.7804,1.7168,320.0,10.0000,3.2411,6.0630,0.3042
707,2622.4728,3.7194,1.8096,1.7435,320.0,10.0000,2.3613,6.2914,0.3252
708,2626.1354,3.6626,1.8173,1.7519,320.0,10.0000,1.3541,6.2216,0.3272
709,2629.7245,3.5891,1.7915,1.7280,320.0,10.0000,3.2409,6.0340,0.3121
710,2633.3759,3.6514,1.8274,1.7630,320.0,10.0000,0.9403,6.1240,0.3216
711,2637.1128,3.7369,1.8486,1.7823,320.0,10.0000,3.1750,6.2867,0.3427
712,2640.8706,3.7578,1.8174,1.7542,320.0,10.0000,2.8458,6.0103,0.3130
713,2644.6476,3.7770,1.7753,1.7113,320.0,10.0000,0.8401,6.0808,0.3119
714,2648.3769,3.7293,1.7511,1.6858,320.0,10.0000,2.1118,6.1889,0.3320
715,2652.0330,3.6560,1.7407,1.6766,320.0,10.0000,0.5761,6.0885,0.3227
716,2655.7163,3.6833,1.7899,1.7265,320.0,10.0000,2.0700,6.0244,0.3198
717,2659.5148,3.7985,1.7905,1.7251,320.0,10.0000,2.6881,6.2031,0.3366
718,2663.2346,3.7198,1.8228,1.7591,320.0,10.0000,1.8912,6.0346,0.3304
719,2666.9123,3.6778,1.8181,1.7540,320.0,10.0000,1.3703,6.0704,0.3361
720,2670.5907,3.6783,1.7921,1.7266,320.0,10.0000,2.5985,6.2069,0.3470
721,2674.2811,3.6904,1.7883,1.7251,320.0,10.0000,3.3944,5.9873,0.3320
722,2677.9171,3.6360,1.7794,1.7142,320.0,10.0000,1.6712,6.1645,0.3472
723,2681.6068,3.6898,1.7720,1.7075,320.0,10.0000,0.5731,6.1134,0.3444
724,2685.3889,3.7820,1.7549,1.6907,320.0,10.0000,0.9451,6.0784,0.3416
725,2689.2353,3.8464,1.7776,1.7130,320.0,10.0000,1.3301,6.1164,0.3491
726,2692.8990,3.6637,1.7829,1.7195,320.0,10.0000,1.7433,5.9910,0.3456
727,2696.4764,3.5775,1.7981,1.7337,320.0,10.0000,1.6872,6.0855,0.3571
728,2700.1191,3.6427,1.7685,1.7054,320.0,10.0000,1.4795,5.9650,0.3420
729,2703.7857,3.6665,1.7998,1.7355,320.0,10.0000,1.2488,6.0666,0.3604
730,2707.4130,3.6273,1.7744,1.7107,320.0,10.0000,0.7646,6.0135,0.3567
731,2711.0725,3.6595,1.7527,1.6891,320.0,10.0000,0.9932,6.0037,0.3513
732,2714.7114,3.6388,1.7794,1.7151,320.0,10.0000,1.4175,6.0631,0.3694
733,2718.4305,3.7191,1.7893,1.7267,320.0,10.0000,2.3363,5.9095,0.3529
734,2722.1730,3.7425,1.7620,1.6974,320.0,10.0000,2.1076,6.0885,0.3721
735,2725.9697,3.7968,1.7996,1.7361,320.0,10.0000,0.8852,5.9814,0.3715
736,2729.7246,3.7549,1.7556,1.6921,320.0,10.0000,1.6394,5.9747,0.3692
737,2733.4091,3.6845,1.7931,1.7275,320.0,10.0000,3.4651,6.1564,0.3986
738,2737.0925,3.6834,1.8292,1.7680,320.0,10.0000,7.6569,5.7620,0.3582
739,2740.7561,3.6636,1.7964,1.7273,320.0,10.0000,10.9392,6.4835,0.4247
740,2744.4637,3.7076,1.7502,1.6915,320.0,10.0000,15.4882,5.5375,0.3284
741,2748.1749,3.7112,1.7902,1.7155,320.0,10.0000,19.2403,6.9854,0.4835
742,2751.9454,3.7705,1.7145,1.6564,320.0,10.0000,14.5317,5.4937,0.3174
743,2755.6694,3.7240,1.7501,1.6834,320.0,10.0000,7.8489,6.2711,0.4006
744,2759.3124,3.6430,1.7571,1.6939,320.0,10.0000,0.8183,5.9363,0.3800
745,2762.9284,3.6160,1.8060,1.7458,320.0,10.0000,8.8122,5.6590,0.3593
746,2766.6123,3.6840,1.7882,1.7170,320.0,10.0000,13.9963,6.6439,0.4722
747,2770.4147,3.8024,1.8023,1.7456,320.0,10.0000,21.1855,5.3392,0.3319
748,2774.1576,3.7429,1.8388,1.7623,320.0,10.0000,20.3810,7.1285,0.5253
749,2777.8019,3.6443,1.7413,1.6810,320.0,10.0000,5.2828,5.6880,0.3492
750,2781.4979,3.6960,1.7791,1.7213,320.0,10.0000,12.5300,5.4531,0.3207
751,2785.2342,3.7363,1.7576,1.6830,320.0,10.0000,18.6456,6.9537,0.5039
752,2788.9448,3.7106,1.7596,1.6980,320.0,10.0000,1.9927,5.7832,0.3739
753,2792.5832,3.6385,1.7974,1.7413,320.0,10.0000,20.3031,5.2795,0.3237
754,2796.2439,3.6607,1.8146,1.7331,320.0,10.0000,22.2193,7.5622,0.5862
755,2799.9401,3.6962,1.7577,1.6929,320.0,10.0000,4.7801,6.0631,0.4148
756,2803.6819,3.7418,1.8658,1.8124,320.0,10.0000,36.1553,5.0762,0.2628
757,2807.4256,3.7437,1.8389,1.7594,320.0,10.0000,21.2535,7.3832,0.5611
758,2811.1365,3.7109,1.8019,1.7217,320.0,10.0000,20.8855,7.4663,0.5577
759,2814.8241,3.6876,1.7851,1.7249,320.0,10.0000,7.8729,5.7260,0.2999
760,2818.5249,3.7008,1.8738,1.8183,320.0,10.0000,21.4108,5.2980,0.2601
761,2822.2315,3.7065,1.7398,1.6747,320.0,10.0000,3.6974,6.1064,0.4041
762,2825.8791,3.6477,1.8501,1.7686,320.0,10.0000,18.0979,7.5452,0.6027
763,2829.4778,3.5987,1.7307,1.6641,320.0,10.0000,5.7779,6.2143,0.4472
764,2833.1496,3.6718,1.7940,1.7382,320.0,10.0000,20.6888,5.2962,0.2865
